Title,Singer,Lyrics,Image,Genre,Mood
비행기,거북이,"Yes Turtles Forth album
New mind New song
철없을 적 내 기억속에
비행기 타고가요
Yeah Let's go
파란 하늘위로 훨훨 날아가겠죠
어려서 꿈꾸었던 비행기 타고
기다리는 동안 아무말도 못해요
내 생각 말할순 없어요
모든 준비 다 끝났어
곱게 차려 입고 나선
바깥 풍경마저 들뜬 기분
때가 왔어 하늘위로
날으는 순간이야
조금은 두려워도
애써 내색 할 순 없어
이번이 처음이지만
전에 자주 비행했었잖아
친구들과 말썽장이
거북이 비행기로 올라타
준비됐나
수많은 사람들 속을 지나쳐
마지막 게이트야
나도 모르게 안절부절하고 있어
이럴 땐 침착해 좀 자연스럽게
파란 하늘위로 훨훨 날아가겠죠
어려서 꿈꾸었던 비행기 타고
기다리는 동안 아무말도 못해요
내 생각 말할순 없어요
Yes Remember
비행기를 타고 가던 너
따라가고 싶어 울었던
철없을 적 내 기억속에
비행기 타고가요
Yes Fly 다들 아무 일도 없는 듯
하늘을 나르는데 아무걱정 없는 듯
왠지 철닥서니 없었나 문득
이런 내 모습 촌스러 입 다문듯
쳐다보지 말아요
다들 처음 탈 때 이러지 않았나요
딴 데 봐요
신경 쓰지 마요
나 혼자 이런게 나 좋아요
어떤 느낌일까 정말
새들처럼 나는 기분
세상 모든 것이 점처럼
보 여 지겠지
개구쟁이 거북이
비행기로 드디어 출발한다
수많은 사람들 속을 지나쳐
마지막 게이트야
나도 모르게 안절부절하고 있어
이럴 땐 침착해 좀 자연스럽게
파란 하늘위로 훨훨 날아가겠죠
어려서 꿈꾸었던 비행기 타고
기다리는 동안 아무말도 못해요
내 생각 말할순 없어요
파란 하늘위로 훨훨 날아가겠죠
어려서 꿈꾸었던 비행기 타고
기다리는 동안 아무말도 못해요
내 생각 말할순 없어요 Yes Remember
비행기를 타고 가던 너
따라가고 싶어 울었던
철없을 적 내 기억속에
비행기 타고가요",https://cdnimg.melon.co.kr/cm/album/images/003/22/845/322845_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,"하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
Yeah girl
you should know that
That my heartbeats like
Huh Huh Huh Huh
From the bottom of my heart
I thank god I found you
쿵쿵 가슴이 왜 이렇게 가쁘니 yeah
꾹꾹 참아도
자꾸 네 생각이 나잖아 oh
You You I love you
and I know you love me too
네가 내게 불러 준
You're my boo
You 아직 꿈만 같아
And you 마치 선물 같아
For you 네 품에 안겨도
늘 불안불안 해 꿈처럼 깰까 봐
You 꼭 안아 줘야만 해
And you 아껴 줘야만 해
For you 큰 맘 먹고 네 꺼 돼준 걸
하늘에게 감사해
하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야
With you
You 혹시 알고 있니
And you 느낄 수가 있니
For you 늘 자랑하고픈
네 여자친구가 되고만 싶은 걸
You 전부 다 주고 싶어
And you 잘 해주고 싶어
For you 다음 그 다음 해 겨울도
너의 곁에 있을게
하얀 눈이 내려올 때면
온 세상이 물들을 때면
눈꽃이 피어나 또 빛이 나
눈이 부신 너처럼
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야
With you
매일 매일 너 때문에 행복해
다른 누구 아닌 나를
모두 가질 너만이 My love
나도 믿기지 않아
지금 네가 내 옆에
이렇게 손 꼭 잡은 채 걷는다는 게
하얀 눈보다 더 뽀얀 네 볼에
키스해줄게 Baby
빨갛게 물들게 Baby
다가오는 크리스마스에는
기다리는 그 날만큼은
네 곁에 있을래
하루 종일 미리 미리 약속해
사랑할 수 밖에 없어서
사랑한 네 손 잡고서
첫 눈 위를 걸어 발자국을 새겨
이 길 끝까지 걸어 갈 거야
With you
Girl you know
I can't even think without you
in my life
Yeah Yeah I know that you know
That's my baby",https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
I Don't Care,2NE1,"hey playboy
it's about time and your time's up
I had to do this one for my girls
you know
sometime you gotta act like
you don't care
that's the only way you boys learn
Oh oh oh oh oh oh 2ne1
Oh oh oh oh oh oh 2ne1
니 옷깃에 묻은 립스틱들
나는 절대로 용서못해
매일 하루에 수십번 꺼져있는 핸드폰
변하지 않을 것만 같아 oh oh
그저 친구라는 수많은 여자친구
날 똑같이 생각하지 마
I won't let it fight
이제 니 맘대로 해 난 미련은 버릴래
한땐 정말 사랑했는데 oh oh
가끔씩 술에 취해 전활 걸어
지금은 새벽 다섯시 반
넌 또 다른 여자애 이름을 불러
no no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
다른 여자들의 다리를 훔쳐보는
니가 너무너무 한심해
매일 빼놓는 커플링
나 몰래 한 소개팅
더 이상 못 참을 것 같아 oh oh
넌 절대 아니라는 수많은 나의 친구
난 너 땜에 친구들까지 다 잃었지만
차라리 홀가분해 너에게 난 과분해
내 사랑이라 믿었는데 oh oh
오늘도 바쁘다고 말하는 너
혹시나 전화해봤지만
역시 뒤에선 여자 웃음소리가 들려
oh no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
난 너 땜에 울며 지새던
밤을 기억해 boy
더 후회할 날 생각하면
맘이 시원해 boy
날 놓치긴 아깝고 갖기엔 시시하잖니
있을 때 잘하지
너 왜 이제와 매달리니
속아준 거짓말만 해도 수백번
오늘 이후로 난 남자 울리는 bad girl
이젠 눈물 한방울 없이 널 비웃어
사랑이란 게임 속 loser
무릎꿇고 잘못을 뉘우쳐
아님 눈 앞에서 당장 꺼져
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
you know I don't care e e e e e e
I don't care e e e e e
I don't care e e e e e
I don't care e e e e e
Boy I don't care",https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
좋은 날,아이유,"어쩜 이렇게 하늘은 더 파란 건지
오늘따라 왜 바람은 또 완벽한지
그냥 모르는 척 하나 못들은 척
지워버린 척 딴 얘길 시작할까
아무 말 못하게 입맞출까
눈물이 차올라서 고갤 들어
흐르지 못하게 또 살짝 웃어
내게 왜 이러는지 무슨 말을 하는지
오늘 했던 모든 말 저 하늘 위로
한번도 못했던 말
울면서 할 줄은 나 몰랐던 말
나는요 오빠가 좋은걸 어떡해

새로 바뀐 내 머리가 별로였는지
입고 나왔던 옷이 실수였던 건지
아직 모르는 척 기억 안 나는 척
아무 일없던 것처럼 굴어볼까
그냥 나가자고 얘기할까
눈물이 차올라서 고갤 들어
흐르지 못하게 또 살짝 웃어
내게 왜 이러는지 무슨 말을 하는지
오늘 했던 모든 말 저 하늘 위로
한번도 못했던 말
울면서 할 줄은 나 몰랐던 말
나는요 오빠가 좋은걸
어떡해

이런 나를 보고
그런 슬픈 말은 하지 말아요
철없는 건지 조금 둔한 건지
믿을 수가 없는걸요
눈물은 나오는데 활짝 웃어
네 앞을 막고서 막 크게 웃어
내가 왜 이러는지 부끄럼도 없는지
자존심은 곱게 접어 하늘위로
한 번도 못했던 말
어쩌면 다신 못할 바로 그 말
나는요 오빠가 좋은걸
아이쿠 하나 둘
I'm in my dream
It's too beautiful beautiful day
Make it a good day
Just don't make me cry
이렇게 좋은 날",https://cdnimg.melon.co.kr/cm/album/images/010/93/562/1093562_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
너랑 나,아이유,"시곌 보며 속삭이는 비밀들
간절한 내 맘속 이야기
지금 내 모습을 해쳐도 좋아
나를 재촉하면 할수록 좋아
내 이름 불러줘
손 틈새로 비치는 내 맘
들킬까 두려워
가슴이 막 벅차 서러워
조금만 꼭 참고 날 기다려줘
너랑 나랑은 지금 안되지
시계를 더 보채고 싶지만
네가 있던 미래에서
내 이름을 불러줘
내가 먼저 엿보고 온 시간들
너와 내가 함께였었지
나랑 놀아주는 그대가 좋아
내가 물어보면 그대도 좋아
내 이름이 뭐야
손 틈새로 비치는 내 맘
들킬까 두려워
가슴이 막 벅차 서러워
조금만 꼭 참고 날 기다려줘
너랑 나랑은 지금 안되지
시계를 더 보채고 싶지만
네가 있던 미래에서
내 이름을 불러줘
눈 깜박하면 어른이 될 거에요
날 알아보겠죠 그댄 기억하겠죠
그래 기묘했던 아이
손 틈새로 비치는 네 모습 참 좋다
손끝으로 돌리며
시곗바늘아 달려봐
조금만 더 빨리 날아봐
두 눈을 꼭 감고 마법을 건다
너랑 나랑은 조금 남았지
몇 날 몇실진 모르겠지만
네가 있을 미래에서
혹시 내가 헤맨다면
너를 알아볼 수 있게
내 이름을 불러줘",https://cdnimg.melon.co.kr/cm/album/images/020/40/666/2040666_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
하루 끝,아이유,"Monday Better day
처음처럼 설레이는 그런 날
Sunday Better day
종일 너만 생각하는 그런 날
욕심이 나
우리 사이 요만큼만 더 가까이
딱 한 발짝 그만큼 더 가까이
혼잣말이 속삭임이
너도 궁금할 순 있잖아
네가 좋아서 그래
나 차가운 척 표정 짓고 있지만
내 마음은 그게 아닌데 거짓말인데
바보 같은 네가 난 답답해
너무 좋아서 그래
나 시무룩한 얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서 하는 말
내가 널 사랑해
One day Holiday
혼자 있긴 너무너무 싫은 날
One day Cloudy day
울 것처럼 하늘도 찌푸린 날
눈물이 와 서글픈 내 맘을 닮은
눈물이 와
꾹 참았다 쏟아지는 내 맘이
온 하늘에 온 세상에
그저 슬픈 건 아닐 거야
네가 좋아서 그래
나 차가운 척 표정 짓고 있지만
내 마음은 그게 아닌데 거짓말인데
바보 같은 네가 난 답답해
너무 좋아서 그래
나 시무룩한 얼굴하고 있지만
또 기다리다 고민만 하다
흘러가는 하루 끝에서 하는 말
내가 널 사랑해
내 입술엔 거짓말
내 눈 속엔 정말 하고픈 말
맘속에 숨어 있는 말
많이 좋아서 그래
뒤돌아서 느려진 발걸음을 봐
널 기다리는 맘인 거잖아
날 지켜본 너라면 알잖아
내가 몰라서 그래
네 마음이 들리게 내게 말해줘
손 내밀면 될 것 같은데
망설이는 이유가 나와 같다면
이제 다가와 줘",https://cdnimg.melon.co.kr/cm/album/images/021/21/646/2121646_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
스물셋,아이유,"I'm twenty three
난 수수께끼 Question
뭐게요 맞혀봐요
I'm twenty three
틀리지 말기 Because
난 몹시 예민해요
맞혀봐
한 떨기 스물셋 좀
아가씨 태가 나네
다 큰 척해도 적당히 믿어줘요
얄미운 스물셋
아직 한참 멀었다 얘
덜 자란 척해도
대충 속아줘요
난 그래 확실히 지금이 좋아요
아냐 아냐
사실은 때려 치고 싶어요
아 알겠어요
나는 사랑이 하고 싶어
아니 돈이나 많이 벌래
맞혀봐
어느 쪽이게
얼굴만 보면 몰라
속마음과 다른 표정을 짓는 일
아주 간단하거든
어느 쪽이게
사실은 나도 몰라
애초에 나는 단 한 줄의
거짓말도 쓴 적이 없거든
여우인 척 하는 곰인 척
하는 여우 아니면
아예 다른 거
어느 쪽이게
뭐든 한 쪽을 골라
색안경 안에 비춰지는 거
뭐 이제 익숙하거든
Check it out
겁나는 게 없어요
엉망으로 굴어도
사람들은 내게 매일 친절해요
인사하는 저 여자
모퉁이를 돌고도
아직 웃고 있을까
늘 불안해요
난 영원히 아이로 남고 싶어요
아니 아니
물기 있는 여자가 될래요
아 정했어요
난 죽은 듯이 살래요
아냐 다 뒤집어 볼래
맞혀봐
어느 쪽이게
얼굴만 보면 몰라
속마음과 다른 표정을 짓는 일
아주 간단하거든
어느 쪽이게
사실은 나도 몰라
애초에 나는 단 한 줄의
거짓말도 쓴 적이 없거든
여우인 척 하는 곰인 척
하는 여우 아니면
아예 다른 거
어느 쪽이게
뭐든 한 쪽을 골라
색안경 안에 비춰지는 거
뭐 이제 익숙하거든
난 당신 맘에 들고 싶어요
아주 살짝만
얄밉게 해도 돼요
난 당신 맘에 들고 싶어요
자기 머리 꼭대기 위에서
놀아도 돼요
맞혀봐
어느 쪽이게
얼굴만 보면 몰라
속마음과 다른 표정을 짓는 일
아주 간단하거든
어느 쪽이게
사실은 나도 몰라
애초에 나는 단 한 줄의
거짓말도 쓴 적이 없거든
여우인 척 하는 곰인 척
하는 여우 아니면
아예 다른 거
어느 쪽이게
뭐든 한 쪽을 골라
색안경 안에 비춰지는 거
뭐 이제 익숙하거든",https://cdnimg.melon.co.kr/cm/album/images/026/46/282/2646282_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
붉은 노을,BIGBANG (빅뱅),"붉은 노을 - 빅뱅
난 너를 사랑해
Let's go
Yes sir
We're back again with 이문세
That's right
Fresh collaboration 2008
It's bigbang
ye ye bust it
그댄 아시나요 있잖아요
지금 그대가 너무 그리워요
고개 숙여 눈물 훔쳐요
당신의 이름을 불러요
꼭 이렇게 날 남겨두고
떠나가야만 했는지
너만 생각하면 머리 아퍼
독하디 독한 술 같어
술 뿐이겠어 병이지
매일 앓아누워 몇 번인지
내일이면 또 잠깐 잊었다가 또
모레쯤이면 생각나겠지만
그래도 어떡해
아직 내 사랑 유효한데
돌아올 거라고 믿는데
난 너만 기다리는데
난 너를 사랑해
Oh I love you girl
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
혹시 그대가 미안해한다면
내 얼굴 보기 두렵다면
Girl 그런 걱정 하덜덜덜 마
너라면 힘이 펄펄펄 나
보고 싶은 그대 얼굴
저 붉은 노을을 닮아
더 슬퍼지는 걸
Oh baby baby
다 지나간 시간
우리가 함께한 추억
잊진 말아줘요 눈을 감아
소리 없이 날 불러준다면
언제라도 달려 갈께요
Everyday everynight
I need you
난 너를 사랑해
Oh I love you girl
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
아름다웠던 그대 모습을
이젠 볼 순 없겠지만
후횐 없어 그저 바라볼 수 있게
붉게 타주오
Ah Ah Ah Ah Ah Ah Ah Ah
Let's go
Ah Ah Ah Ah Ah Ah Ah Ah
해가 뜨고 해가 지네
노을 빛에 슬퍼지네
달이 뜨고 달이 지네
세월 속에 나 또한 무뎌지네
해가 뜨고 해가 지네
노을 빛에 슬퍼지네
달이 뜨고 달이 지네
그대 기억 또한 무뎌지네
난 너를 사랑해
Oh I love you girl
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
난 너를 사랑해
I love you girl
이 세상은 너 뿐이야
소리쳐 부르지만
저 대답 없는 노을만 붉게 타는데
Once again
Ah Ah Ah Ah Ah Ah Ah Ah
Let's go
Ah Ah Ah Ah Ah Ah Ah Ah
big bang",https://cdnimg.melon.co.kr/cm/album/images/004/05/351/405351_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
SHAKE IT,씨스타,"너만을 유혹하는 춤
우우우 우우우우
심장에 매력 발산 중
우우우 우우우우
손끝만 스쳐도 막 쿵쿵쿵쿵 Oh
내 맘이 흔들려
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나
Hey
나나나 나나나 나나나
짜릿한 이 느낌
날 춤을 추게 해
지금 이 순간
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
아주 fun하고 smart하게
흔들흔들어
온몸이 찌릿찌릿 우리 둘이
흔들흔들어
심하게 통하니 여기 불났으니
When I Move
움직여 자리 잡았으니
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나
Hey
나나나 나나나 나나나
짜릿한 이 느낌
날 춤을 추게 해
지금 이 순간
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it for me my baby
Shake it for me my baby
그렇게 모두 모여 dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby",https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
8282,다비치,"8282 - 다비치
만나지 말잔 내 말
연락도 말란 내말
너 진짜 그대로 할거니
그게 아닌데
이대로 끝일까봐
널 영영 잃을까봐
점점 더 맘이 불안해져
너무 슬퍼져
정이 뭔지 밉다가도 그리워
너없인 못살아
Gimme a call Baby Baby
지금 바로 전화줘
Gimme a call Baby Baby
매일 널 기다려
사랑한다고 사랑한다고
문자라도 남겨줘
날 울리지마
- 연주중 -
어디서 뭘 하길래
얼마나 바쁘길래
혹시 너 일부러 안받니
난 줄 알면서
벌써 날 잊은거니
마음을 접은거니
날 두고 니가 설마 설마
자꾸 눈물나
정이 뭔지 사랑보다 무서워
지우기 힘들어
Gimme a call Baby Baby
지금 바로 전화줘
Gimme a call Baby Baby
매일 널 기다려
사랑한다고 사랑한다고
문자라도 남겨줘
날 울리지마
Call me Tell me hold me
아니라고
Call me Tell me hold me
가면안돼
Gimme a call Baby Baby
다시 나를 찾아줘
Gimme a call Baby Baby
할말이 있는 걸
너를 사랑해 너무 사랑해
너를 향해 소리쳐
널 기다릴게
Call me Tell me hold me
아니라고
Call me Tell me hold me
돌아와줘",https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/120/quality/80/optimize,Dance,Happy
